PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A,USG_PCT
1641727,Dariq Whitehead,NBA,2024-25,Wing,G-F,20,12.3,5.7,0.6,1.5,0.3,0.1,0.8,4.8,0.3,3.7,0.189
1629636,Darius Garland,NBA,2024-25,Guard,G,75,30.7,20.6,6.7,2.9,1.2,0.1,2.5,15.7,3.4,7.1,0.265
1630561,David Duke Jr.,NBA,2024-25,Guard,G,6,5.6,2.7,0.7,0.8,0.2,0.0,0.3,2.3,0.3,1.0,0.207
1631223,David Roddy,NBA,2024-25,Wing,F,33,12.4,4.6,1.1,2.5,0.4,0.3,0.7,3.8,0.8,1.8,0.159
1630558,Davion Mitchell,NBA,2024-25,Guard,G,74,27.4,7.9,4.9,2.3,1.0,0.2,1.7,6.4,1.1,2.9,0.135
1630549,Day'Ron Sharpe,NBA,2024-25,Big,C,50,18.1,7.9,1.8,6.6,0.8,0.8,1.3,6.3,1.5,0.9,0.186
1628368,De'Aaron Fox,NBA,2024-25,Guard,G,62,36.1,23.5,6.3,4.8,1.5,0.4,2.8,18.8,5.1,6.1,0.274
1629631,De'Andre Hunter,NBA,2024-25,Wing,F-G,64,27.2,17.0,1.4,4.0,0.8,0.2,1.3,11.9,4.0,6.1,0.221
1629001,De'Anthony Melton,NBA,2024-25,Guard,G,6,20.2,10.3,2.8,3.3,1.2,0.3,1.7,9.0,1.3,5.8,0.223
201599,DeAndre Jordan,NBA,2024-25,Big,C,56,12.3,3.7,0.9,5.1,0.3,0.5,0.7,2.5,1.1,0.0,0.126
201942,DeMar DeRozan,NBA,2024-25,Wing,G-F,77,35.9,22.2,4.4,3.9,0.8,0.4,1.4,17.0,5.7,3.3,0.244
1629731,Dean Wade,NBA,2024-25,Big,F-C,59,21.2,5.4,1.3,4.2,0.7,0.3,0.4,4.6,0.5,3.8,0.101
1629028,Deandre Ayton,NBA,2024-25,Big,C,40,30.1,14.4,1.6,10.2,0.8,1.0,1.7,11.7,1.5,0.8,0.197
1627749,Dejounte Murray,NBA,2024-25,Guard,G,31,32.6,17.5,7.4,6.5,2.0,0.4,3.4,15.9,4.0,5.6,0.263
1626153,Delon Wright,NBA,2024-25,Guard,G,40,15.9,3.1,1.9,1.7,0.9,0.3,0.6,3.3,0.6,1.8,0.111
1630166,Deni Avdija,NBA,2024-25,Wing,F,72,30.0,16.9,3.9,7.3,1.0,0.5,2.7,11.7,5.2,4.8,0.228
203471,Dennis Schröder,NBA,2024-25,Guard,G,75,28.1,13.1,5.4,2.6,0.9,0.2,1.9,11.0,2.9,4.9,0.211
1641726,Dereck Lively II,NBA,2024-25,Big,C,36,23.1,8.7,2.4,7.5,0.6,1.6,1.1,5.3,2.0,0.0,0.132
1627884,Derrick Jones Jr.,NBA,2024-25,Wing,F,77,24.3,10.1,0.8,3.4,1.0,0.4,0.9,7.6,1.5,2.8,0.16
1628401,Derrick White,NBA,2024-25,Guard,G,76,33.9,16.4,4.8,4.5,0.9,1.1,1.7,12.6,2.1,9.1,0.195
1630217,Desmond Bane,NBA,2024-25,Guard,G,69,32.0,19.2,5.3,6.1,1.2,0.4,2.4,14.8,2.9,6.1,0.227
1626164,Devin Booker,NBA,2024-25,Guard,G,75,37.3,25.6,7.1,4.1,0.9,0.2,2.9,18.9,6.4,7.3,0.285
1642269,Devin Carter,NBA,2024-25,Guard,G,36,11.0,3.8,1.1,2.1,0.6,0.1,0.5,3.5,1.2,1.7,0.169
1630170,Devin Vassell,NBA,2024-25,Wing,G-F,64,31.0,16.3,2.9,4.0,1.3,0.5,1.4,13.9,1.9,6.7,0.217
1628415,Dillon Brooks,NBA,2024-25,Wing,G-F,75,31.8,14.0,1.7,3.7,0.8,0.2,1.0,11.9,1.6,6.3,0.176
1641794,Dillon Jones,NBA,2024-25,Wing,F,54,10.2,2.5,1.1,2.2,0.3,0.1,0.5,2.5,0.5,1.2,0.131
1627734,Domantas Sabonis,NBA,2024-25,Big,F-C,70,34.7,19.1,6.0,13.9,0.7,0.4,2.9,12.8,4.1,2.2,0.213
1631230,Dominick Barlow,NBA,2024-25,Wing,F,35,10.7,4.2,0.5,2.4,0.3,0.5,0.1,3.2,0.9,0.8,0.141
1642270,Donovan Clingan,NBA,2024-25,Big,C,67,19.8,6.5,1.1,7.9,0.5,1.6,1.1,5.0,1.6,0.7,0.135
1628378,Donovan Mitchell,NBA,2024-25,Guard,G,71,31.4,24.0,5.0,4.5,1.3,0.2,2.1,18.6,5.1,8.9,0.298
1628978,Donte DiVincenzo,NBA,2024-25,Guard,G,62,25.9,11.7,3.6,3.7,1.2,0.3,1.6,9.6,1.0,7.1,0.188
1627827,Dorian Finney-Smith,NBA,2024-25,Wing,F,63,28.9,8.7,1.4,3.9,0.9,0.4,0.9,6.9,0.7,5.0,0.123
203926,Doug McDermott,NBA,2024-25,Wing,F,42,8.1,3.5,0.2,0.5,0.1,0.0,0.1,2.8,0.1,2.4,0.15
203110,Draymond Green,NBA,2024-25,Wing,F,68,29.2,9.0,5.6,6.1,1.5,1.0,2.6,7.5,2.2,3.6,0.157
1629234,Drew Eubanks,NBA,2024-25,Big,F-C,61,12.2,4.6,0.9,3.7,0.2,0.6,0.7,3.2,1.2,0.1,0.149
1641809,Drew Peterson,NBA,2024-25,Wing,F,25,7.4,2.2,0.5,1.6,0.2,0.1,0.3,1.6,0.4,1.3,0.121
1631166,Drew Timme,NBA,2024-25,Wing,F,9,28.2,12.1,2.2,7.2,0.4,0.1,1.7,11.3,1.8,3.9,0.205
1630696,Dru Smith,NBA,2024-25,Guard,G,14,19.2,6.2,1.6,2.6,1.5,0.4,1.2,4.4,0.9,2.1,0.131
1629130,Duncan Robinson,NBA,2024-25,Wing,F,74,24.1,11.0,2.4,2.3,0.5,0.1,1.2,9.0,0.7,6.5,0.187
1641871,Duop Reath,NBA,2024-25,Big,C,46,10.2,4.2,0.6,2.0,0.3,0.3,0.3,3.6,0.5,2.3,0.162
203939,Dwight Powell,NBA,2024-25,Big,F-C,55,10.0,2.1,1.0,2.1,0.3,0.4,0.3,1.1,0.8,0.1,0.073
1630700,Dyson Daniels,NBA,2024-25,Guard,G,76,33.8,14.1,4.4,5.9,3.0,0.7,2.0,12.1,1.8,3.1,0.178
1630604,E.J. Liddell,NBA,2024-25,Wing,F,12,4.4,1.8,0.3,0.8,0.1,0.1,0.2,1.3,0.2,0.8,0.13
203901,Elfrid Payton,NBA,2024-25,Guard,G,24,21.3,3.5,6.9,3.3,1.0,0.5,2.5,5.1,0.3,0.3,0.151
1641989,Elijah Harkless,NBA,2024-25,Guard,G,10,13.8,3.2,0.8,2.1,1.0,0.1,0.3,3.5,0.6,2.5,0.12
1641801,Emanuel Miller,NBA,2024-25,Wing,F,6,4.1,1.7,0.3,1.3,0.2,0.0,0.0,1.3,0.3,0.2,0.143
1641734,Emoni Bates,NBA,2024-25,Wing,F,10,7.5,3.7,0.8,0.7,0.1,0.1,0.2,3.8,0.0,3.0,0.201
1642402,Enrique Freeman,NBA,2024-25,Wing,F,22,8.2,2.1,0.4,1.4,0.1,0.1,0.3,1.7,0.9,0.5,0.109
201569,Eric Gordon,NBA,2024-25,Guard,G,39,19.7,6.8,1.7,1.2,0.7,0.3,0.7,5.2,1.2,3.5,0.14
1630596,Evan Mobley,NBA,2024-25,Big,C,71,30.5,18.5,3.2,9.3,0.9,1.6,2.0,12.8,4.3,3.2,0.226
1630532,Franz Wagner,NBA,2024-25,Wing,F,60,33.7,24.2,4.7,5.7,1.3,0.4,2.3,19.4,5.2,5.9,0.306
1627832,Fred VanVleet,NBA,2024-25,Guard,G,60,35.2,14.1,5.6,3.7,1.6,0.4,1.5,12.7,2.3,7.7,0.176
1641713,GG Jackson,NBA,2024-25,Wing,F,29,15.8,7.2,1.0,3.2,0.4,0.2,1.1,6.9,1.4,3.3,0.219
1629216,Gabe Vincent,NBA,2024-25,Guard,G,72,21.2,6.4,1.4,1.3,0.7,0.2,0.6,5.8,0.3,4.3,0.131
202066,Garrett Temple,NBA,2024-25,Wing,G-F,28,8.1,1.9,1.1,1.0,0.6,0.1,0.4,2.1,0.4,1.0,0.129
1629726,Garrison Mathews,NBA,2024-25,Guard,G,47,17.6,7.5,1.3,1.9,0.6,0.3,0.7,5.5,1.7,4.6,0.153
203914,Gary Harris,NBA,2024-25,Guard,G,48,14.8,3.0,0.6,1.3,0.5,0.3,0.4,2.8,0.3,2.1,0.09
1627780,Gary Payton II,NBA,2024-25,Guard,G,62,15.0,6.5,1.3,3.0,0.8,0.3,0.6,4.8,0.6,1.5,0.156
1629018,Gary Trent Jr.,NBA,2024-25,Guard,G,74,25.6,11.1,1.2,2.3,1.0,0.1,0.6,8.9,1.2,5.9,0.168
